1	37.4240		1.1104
2	37.7261		2.7796
3	37.4684		3.6261
4	36.2080		3.9163
5	35.8365		5.8314
6	36.0963		7.4085
7	35.4758		8.5650
8	34.6723		9.6340
9	35.4346		10.8006
10	34.9536		12.1629
11	34.7746		13.5708
12	34.6144		15.3417
13	35.1778		17.3300
14	34.7917		17.8096
15	34.4610		18.4029
16	33.6981		18.7840
17	34.0093		19.1411
18	34.2946		19.5161
19	33.6494		19.6924
20	32.9180		20.0620
21	32.4087		20.5469
22	31.5410		21.4598
23	30.6687		22.0924
24	30.0721		22.3737
25	28.8212		22.4724
26	28.0727		22.8750
27	28.3438		23.5181
28	27.3841		23.2744
29	27.5529		23.8061
30	26.7408		24.8351
31	25.6382		24.9937
32	25.8850		25.5065
33	25.1510		26.2215
34	24.2317		26.6915
35	23.3909		26.8159
36	23.3316		27.6198
37	22.1602		27.1196
38	21.5260		28.1072
39	21.2547		28.7548
40	21.1401		29.5673
41	18.9923		30.1449
42	17.1977		29.0984
43	15.3632		28.9707
44	15.3128		27.1721
45	12.6150		24.9476
46	9.6148		24.3382
47	7.04907		24.898
48	34.1732		9.9596
49	33.9624		10.5561
50	33.4703		10.5222
51	32.8078		10.3574
52	31.9869		10.6230
53	31.5923		10.3060
54	31.1878		9.8418
55	30.0857		9.6241
56	29.5535		9.9820
57	29.5075		9.5967
58	29.3750		9.1600
59	28.6984		8.9057
60	28.2477		9.3573
61	27.1683		9.3197
62	26.7674		8.9863
63	26.3227		8.5095
64	25.9412		8.0390
65	25.2597		7.9905
66	24.4724		8.5073
67	23.8419		9.0370
68	23.1704		9.6018
69	22.5110		10.0262
70	21.8246		10.4211
71	22.1627		10.7465
72	22.1213		11.3183
73	21.9134		11.8585
74	21.7348		12.4197
75	21.5392		13.1158
76	21.2346		13.4170
77	20.9917		13.7969
78	20.6913		14.3698
79	20.9251		15.0707
80	21.3510		15.7096
81	21.1239		16.4376
82	21.6246		16.9793
83	21.4042		17.3156
84	21.9545		17.6798
85	21.8616		18.2791
86	21.7378		18.9193
87	21.9013		19.3267
88	21.4140		19.1854
89	21.6131		19.7623
90	20.9860		19.9568
91	21.5520		20.1686
92	21.1744		20.5437
93	21.0655		21.0783
94	20.6754		21.7205
95	20.6913		22.1112
96	21.0093		22.5236
97	20.7984		22.8390
98	21.4611		23.1623
99	20.8529		23.3173
100	22.0824		24.1932
101	21.0655		25.9928
102	20.7747		25.2194
103	20.7469		27.2611
104	31.4247		11.0960
105	31.6933		12.1086
